real-time,time-elapsed,time-remaining,percent-complete,hit-rate,active-send-threads,sent-total,sent-last-one-sec,sent-avg-per-sec,sent-bandwidth-last-one-sec,sent-bandwidth-avg-per-sec,recv-success-total,recv-success-last-one-sec,recv-success-avg-per-sec,recv-total,recv-total-last-one-sec,recv-total-avg-per-sec,pcap-drop-total,drop-last-one-sec,drop-avg-per-sec,sendto-fail-total,sendto-fail-last-one-sec,sendto-fail-avg-per-sec
2025-03-31 00:38:09,0,280486916,0.000000,0.000000,1,1,1,15,672,10290,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-31 00:38:10,1,733956,0.000145,0.016038,1,6235,6233,5852,4188576,3932429,1,1,1,476,476,447,0,0,0,0,0,0
2025-03-31 00:38:11,2,711612,0.000290,3.545075,1,12468,6232,6036,4187904,4055900,442,441,214,1101,625,533,0,0,0,0,0,0
2025-03-31 00:38:12,3,704268,0.000435,5.588833,1,18698,6229,6098,4185888,4098189,1045,603,341,1680,579,548,0,0,0,0,0,0
2025-03-31 00:38:13,4,700230,0.000581,6.443206,1,24941,6242,6134,4194624,4121816,1607,562,395,2276,596,560,0,0,0,0,0,0
2025-03-31 00:38:14,5,697979,0.000726,6.966898,1,31176,6234,6153,4189248,4135106,2172,565,429,2871,595,567,0,0,0,0,0,0
2025-03-31 00:38:15,6,696333,0.000871,7.309121,1,37419,6242,6168,4194624,4144874,2735,563,451,3483,612,574,0,0,0,0,0,0
2025-03-31 00:38:16,7,695345,0.001016,7.587629,1,43650,6230,6177,4186560,4150755,3312,577,469,4079,596,577,0,0,0,0,0,0
2025-03-31 00:38:17,8,694549,0.001161,7.753834,1,49885,6234,6184,4189248,4155507,3868,556,479,4684,605,581,0,0,0,0,0,0
2025-03-31 00:38:18,9,694051,0.001306,7.882590,1,56111,6224,6188,4182528,4158484,4423,555,488,5246,562,579,0,0,0,0,0,0
2025-03-31 00:38:19,10,693744,0.001451,7.952959,1,62329,6216,6191,4177152,4160319,4957,534,492,5855,609,582,0,0,0,0,0,0
2025-03-31 00:38:20,11,693666,0.001596,8.076755,1,68530,6199,6192,4165728,4160781,5535,578,500,6455,600,583,0,0,0,0,0,0
2025-03-31 00:38:21,12,693369,0.001741,8.168016,1,74755,6224,6194,4182528,4162553,6106,571,506,7096,641,588,0,0,0,0,0,0
2025-03-31 00:38:22,13,693239,0.001885,8.263963,1,80966,6210,6195,4173120,4163330,6691,585,512,7679,583,588,0,0,0,0,0,0
2025-03-31 00:38:23,14,693027,0.002030,8.301411,1,87190,6222,6197,4181184,4164597,7238,547,514,8248,569,586,0,0,0,0,0,0
2025-03-31 00:38:24,15,692821,0.002175,8.304698,1,93417,6225,6199,4183200,4165829,7758,520,515,8844,596,587,0,0,0,0,0,0
2025-03-31 00:38:25,16,692701,0.002320,8.350479,1,99635,6217,6200,4177824,4166548,8320,562,518,9425,581,587,0,0,0,0,0,0
2025-03-31 00:38:26,17,692763,0.002464,8.395778,1,105827,6191,6200,4160352,4166165,8885,565,521,10020,595,587,0,0,0,0,0,0
2025-03-31 00:38:27,18,692477,0.002609,8.441744,1,112074,6246,6202,4197312,4167881,9461,576,524,10636,616,589,0,0,0,0,0,0
2025-03-31 00:38:28,19,692321,0.002754,8.470550,1,118304,6229,6204,4185888,4168813,10021,560,525,11277,641,591,0,0,0,0,0,0
2025-03-31 00:38:29,20,692024,0.002900,8.548353,1,124562,6257,6206,4204704,4170598,10648,627,531,11913,636,594,0,0,0,0,0,0
2025-03-31 00:38:30,21,692696,0.003042,8.574512,1,130643,6080,6200,4085760,4166543,11202,554,532,12518,605,594,0,0,0,0,0,0
2025-03-31 00:38:31,22,693902,0.003181,8.642246,1,136608,5963,6189,4007136,4159297,11806,604,535,13124,606,595,0,0,0,0,0,0
2025-03-31 00:38:32,23,693888,0.003325,8.630832,1,142802,6193,6190,4161696,4159377,12325,519,534,13735,611,595,0,0,0,0,0,0
2025-03-31 00:38:33,24,693784,0.003470,8.671610,1,149015,6212,6190,4174464,4159993,12922,597,537,14323,588,595,0,0,0,0,0,0
2025-03-31 00:38:34,25,693639,0.003614,8.654397,1,155239,6223,6192,4181856,4160859,13435,513,536,14887,564,594,0,0,0,0,0,0
2025-03-31 00:38:35,26,693422,0.003760,8.671555,1,161482,6242,6194,4194624,4162152,14003,568,537,15478,591,594,0,0,0,0,0,0
2025-03-31 00:38:36,27,693248,0.003905,8.684764,1,167719,6236,6195,4190592,4163193,14566,563,538,16065,587,593,0,0,0,0,0,0
2025-03-31 00:38:37,28,693112,0.004050,8.373719,1,173949,6230,6196,4186560,4164001,14566,0,519,16633,568,593,0,0,0,0,0,0
2025-03-31 00:38:38,29,692978,0.004195,8.382682,1,180181,6231,6198,4187232,4164799,15104,538,520,17279,646,594,0,0,0,0,0,0
