real-time,time-elapsed,time-remaining,percent-complete,hit-rate,active-send-threads,sent-total,sent-last-one-sec,sent-avg-per-sec,sent-bandwidth-last-one-sec,sent-bandwidth-avg-per-sec,recv-success-total,recv-success-last-one-sec,recv-success-avg-per-sec,recv-total,recv-total-last-one-sec,recv-total-avg-per-sec,pcap-drop-total,drop-last-one-sec,drop-avg-per-sec,sendto-fail-total,sendto-fail-last-one-sec,sendto-fail-avg-per-sec
2025-03-29 23:50:40,0,287590404,0.000000,0.000000,1,1,1,15,752,11231,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-29 23:50:41,1,2292846595,0.000000,0.000000,1,2,1,2,752,1409,0,0,0,1,1,1,0,0,0,0,0,0
2025-03-29 23:50:42,2,2961444183,0.000000,0.000000,1,3,1,1,752,1091,0,0,0,1,0,0,0,0,0,0,0,0
2025-03-29 23:50:43,3,3296574209,0.000000,0.000000,1,4,1,1,752,980,0,0,0,1,0,0,0,0,0,0,0,0
2025-03-29 23:50:44,4,76782079,0.000000,0.000000,1,4,0,1,0,739,0,0,0,1,0,0,0,0,0,0,0,0
2025-03-29 23:50:45,5,3630898687,0.000000,0.000000,1,6,2,1,1504,890,0,0,0,1,0,0,0,0,0,0,0,0
2025-03-29 23:50:46,6,3726860871,0.000000,0.000000,1,7,1,1,752,867,0,0,0,1,0,0,0,0,0,0,0,0
2025-03-29 23:50:47,7,3798170493,0.000000,0.000000,1,8,1,1,752,850,0,0,0,1,0,0,0,0,0,0,0,0
2025-03-29 23:50:48,8,3855056664,0.000000,0.000000,1,9,1,1,752,838,0,0,0,1,0,0,0,0,0,0,0,0
2025-03-29 23:50:49,9,3899485793,0.000000,0.000000,1,10,1,1,752,828,0,0,0,1,0,0,0,0,0,0,0,0
2025-03-29 23:50:50,10,3935675292,0.000000,0.000000,1,11,1,1,752,821,0,0,0,1,0,0,0,0,0,0,0,0
2025-03-29 23:50:51,11,3967110904,0.000000,0.000000,1,12,1,1,752,814,0,0,0,1,0,0,0,0,0,0,0,0
2025-03-29 23:50:52,12,3993231903,0.000000,0.000000,1,13,1,1,752,809,0,0,0,1,0,0,0,0,0,0,0,0
2025-03-29 23:50:53,13,28948392,0.000000,0.000000,1,13,0,1,0,747,0,0,0,1,0,0,0,0,0,0,0,0
2025-03-29 23:50:54,14,4035586174,0.000000,0.000000,1,15,2,1,1504,800,0,0,0,1,0,0,0,0,0,0,0,0
2025-03-29 23:50:55,15,4052573236,0.000000,0.000000,1,16,1,1,752,797,0,0,0,1,0,0,0,0,0,0,0,0
2025-03-29 23:50:56,16,4067009584,0.000000,0.000000,1,17,1,1,752,794,0,0,0,1,0,0,0,0,0,0,0,0
2025-03-29 23:50:57,17,4079927567,0.000000,0.000000,1,18,1,1,752,792,0,0,0,1,0,0,0,0,0,0,0,0
2025-03-29 23:50:58,18,4091838126,0.000000,0.000000,1,19,1,1,752,789,0,0,0,1,0,0,0,0,0,0,0,0
2025-03-29 23:50:59,19,4103271255,0.000000,0.000000,1,20,1,1,752,787,0,0,0,1,0,0,0,0,0,0,0,0
