real-time,time-elapsed,time-remaining,percent-complete,hit-rate,active-send-threads,sent-total,sent-last-one-sec,sent-avg-per-sec,sent-bandwidth-last-one-sec,sent-bandwidth-avg-per-sec,recv-success-total,recv-success-last-one-sec,recv-success-avg-per-sec,recv-total,recv-total-last-one-sec,recv-total-avg-per-sec,pcap-drop-total,drop-last-one-sec,drop-avg-per-sec,sendto-fail-total,sendto-fail-last-one-sec,sendto-fail-avg-per-sec
2025-03-28 17:27:44,0,0,0.000000,0.000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-28 17:27:45,1,218761,0.000484,0.000000,1,20796,20651,19633,15529552,14764378,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-28 17:27:46,2,211966,0.000975,0.000000,1,41861,20925,20263,15735600,15237575,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-28 17:27:47,3,209843,0.001463,0.000000,1,62824,20890,20468,15709280,15391683,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-28 17:27:48,4,209062,0.001950,0.000000,1,83764,20777,20544,15624304,15449090,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-28 17:27:49,5,208393,0.002438,0.000000,1,104734,20878,20610,15700256,15498653,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-28 17:27:50,6,208271,0.002920,0.000000,1,125424,20683,20622,15553616,15507628,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-28 17:27:51,7,208259,0.003401,0.000000,1,146089,20630,20623,15513760,15508444,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-28 17:27:52,8,208029,0.003886,0.000000,1,166907,20807,20646,15646864,15525543,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-28 17:27:53,9,208183,0.004367,0.000000,1,187567,20507,20630,15421264,15513956,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-28 17:27:54,10,208059,0.004852,0.000000,1,208401,20754,20643,15607008,15523171,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-28 17:27:55,11,207938,0.005337,0.000000,1,229208,20774,20654,15622048,15532083,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-28 17:27:56,12,207837,0.005821,0.000000,1,250000,20775,20664,15622800,15539583,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-28 17:27:57,13,207979,0.006299,0.000000,1,270550,20479,20650,15400208,15528889,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-28 17:27:58,14,208449,0.006765,0.000000,1,290568,19993,20603,15034736,15493781,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-28 17:27:59,15,207906,0.007266,0.000000,1,312060,21413,20657,16102576,15534195,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-28 17:28:00,16,208194,0.007736,0.000000,1,332284,20196,20628,15187392,15512590,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-28 17:28:01,17,208017,0.008224,0.000000,1,353230,20928,20646,15737856,15525760,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-28 17:28:02,18,207861,0.008711,0.000000,1,374159,20924,20661,15734848,15537300,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-28 17:28:03,19,207806,0.009195,0.000000,1,394947,20766,20667,15616032,15541399,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-28 17:28:04,20,207693,0.009683,0.000000,1,415882,20890,20678,15709280,15549729,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-28 17:28:05,21,207645,0.010168,0.000000,1,436737,20778,20683,15625056,15553288,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-28 17:28:06,22,207535,0.010656,0.000000,1,457684,20922,20693,15733344,15561432,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-28 17:28:07,23,207451,0.011146,0.000000,1,478720,20883,20702,15704016,15567639,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-28 17:28:08,24,207385,0.011633,0.000000,1,499665,20858,20708,15685216,15572505,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-28 17:28:09,25,207289,0.012121,0.000000,1,520625,20948,20718,15752896,15579664,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-28 17:28:10,26,207179,0.012611,0.000000,1,541631,21002,20729,15793504,15587834,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-28 17:28:11,27,207134,0.013096,0.000000,1,562485,20850,20733,15679200,15591192,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-28 17:28:12,28,207108,0.013580,0.000000,1,583290,20802,20735,15643104,15593022,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-28 17:28:13,29,207062,0.014070,0.000000,1,604334,20867,20740,15691984,15596422,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-28 17:28:14,30,207008,0.014558,0.000000,1,625284,20900,20745,15716800,15600418,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-28 17:28:15,31,206954,0.015046,0.000000,1,646216,20912,20751,15725824,15604435,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-28 17:28:16,32,206899,0.015536,0.000000,1,667285,20925,20756,15735600,15608535,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-28 17:28:17,33,206854,0.016027,0.000000,1,688350,20900,20760,15716800,15611810,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-28 17:28:18,34,206790,0.016515,0.000000,1,709335,20979,20767,15776208,15616605,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-28 17:28:19,35,207043,0.016978,0.000000,1,729209,19869,20741,14941488,15597393,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-28 17:28:20,36,207024,0.017464,0.000000,1,750073,20810,20743,15649120,15598810,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-28 17:28:21,37,206955,0.017953,0.000000,1,771077,20994,20750,15787488,15603878,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-28 17:28:22,38,206929,0.018438,0.000000,1,791943,20848,20752,15677696,15605809,0,0,0,1,1,0,0,0,0,0,0,0
2025-03-28 17:28:23,39,207121,0.018904,0.000000,1,811943,19995,20733,15036240,15591256,0,0,0,1,0,0,0,0,0,0,0,0
2025-03-28 17:28:24,40,207083,0.019391,0.000000,1,832836,20881,20737,15702512,15594015,0,0,0,1,0,0,0,0,0,0,0,0
2025-03-28 17:28:25,41,207089,0.019873,0.000000,1,853550,20708,20736,15572416,15593472,0,0,0,1,0,0,0,0,0,0,0,0
2025-03-28 17:28:26,42,207019,0.020363,0.000000,1,874610,21030,20743,15814560,15598712,0,0,0,1,0,0,0,0,0,0,0,0
2025-03-28 17:28:27,43,207140,0.020834,0.000000,1,894844,20215,20731,15201680,15589497,0,0,0,1,0,0,0,0,0,0,0,0
2025-03-28 17:28:28,44,206966,0.021335,0.000000,1,916349,21499,20748,16167248,15602578,0,0,0,1,0,0,0,0,0,0,0,0
2025-03-28 17:28:29,45,206936,0.021821,0.000000,1,937231,20878,20751,15700256,15604740,0,0,0,1,0,0,0,0,0,0,0,0
2025-03-28 17:28:30,46,206919,0.022306,0.000000,1,958059,20825,20753,15660400,15605941,0,0,0,1,0,0,0,0,0,0,0,0
2025-03-28 17:28:31,47,206890,0.022792,0.000000,1,978945,20883,20755,15704016,15608020,0,0,0,1,0,0,0,0,0,0,0,0
