real-time,time-elapsed,time-remaining,percent-complete,hit-rate,active-send-threads,sent-total,sent-last-one-sec,sent-avg-per-sec,sent-bandwidth-last-one-sec,sent-bandwidth-avg-per-sec,recv-success-total,recv-success-last-one-sec,recv-success-avg-per-sec,recv-total,recv-total-last-one-sec,recv-total-avg-per-sec,pcap-drop-total,drop-last-one-sec,drop-avg-per-sec,sendto-fail-total,sendto-fail-last-one-sec,sendto-fail-avg-per-sec
2025-03-30 15:07:33,0,295,0.027001,0.000000,1,18,1,226,752,169690,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-30 15:07:34,1,9,10.699251,0.000000,1,13864,13810,12809,10385120,9632091,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-30 15:07:35,2,7,21.000357,0.000000,1,27725,13825,13297,10396400,9999429,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-30 15:07:36,3,6,31.337048,0.000000,1,41667,13877,13486,10435504,10141175,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-30 15:07:37,4,5,41.673213,0.000000,1,55628,13912,13590,10461824,10219714,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-30 15:07:38,5,4,51.941554,0.000000,0,65536,13912,13623,10461824,10244849,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-30 15:07:39,6,3,62.163182,0.000000,0,65536,13912,13623,10461824,10244849,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-30 15:07:40,7,2,72.369705,0.000000,0,65536,13912,13623,10461824,10244849,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-30 15:07:41,8,1,82.585401,0.000000,0,65536,13912,13623,10461824,10244849,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-30 15:07:42,9,0,92.818740,0.000000,0,65536,13912,13623,10461824,10244849,0,0,0,0,0,0,0,0,0,0,0,0
