real-time,time-elapsed,time-remaining,percent-complete,hit-rate,active-send-threads,sent-total,sent-last-one-sec,sent-avg-per-sec,sent-bandwidth-last-one-sec,sent-bandwidth-avg-per-sec,recv-success-total,recv-success-last-one-sec,recv-success-avg-per-sec,recv-total,recv-total-last-one-sec,recv-total-avg-per-sec,pcap-drop-total,drop-last-one-sec,drop-avg-per-sec,sendto-fail-total,sendto-fail-last-one-sec,sendto-fail-avg-per-sec
2025-04-01 10:37:53,0,166874628,0.000000,0.000000,1,2,1,26,672,17296,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-01 10:37:54,1,601615,0.000179,0.000000,1,7695,7692,7139,5169024,4797479,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-01 10:37:55,2,576936,0.000360,0.000000,1,15470,7774,7444,5224128,5002683,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-01 10:37:56,3,568931,0.000541,0.000000,1,23239,7767,7549,5219424,5073070,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-01 10:37:57,4,564888,0.000722,0.000000,1,31010,7770,7603,5221440,5109370,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-01 10:37:58,5,561999,0.000904,0.000000,1,38813,7802,7642,5242944,5135627,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-01 10:37:59,6,560304,0.001085,0.000000,1,46598,7783,7665,5230176,5151146,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-01 10:38:00,7,559583,0.001265,0.000000,1,54335,7736,7675,5198592,5157778,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-01 10:38:01,8,558114,0.001448,0.000000,1,62175,7839,7695,5267808,5171346,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-01 10:38:02,9,557525,0.001629,0.000000,1,69946,7770,7704,5221440,5176795,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-01 10:38:03,10,557002,0.001810,0.000000,1,77725,7777,7711,5226144,5181649,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-01 10:38:04,11,556305,0.001992,0.000000,1,85545,7818,7720,5253696,5188136,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-01 10:38:05,12,555845,0.002173,0.000000,1,93344,7798,7727,5240256,5192416,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-01 10:38:06,13,555918,0.002353,0.000000,1,101060,7714,7726,5183808,5191728,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-01 10:38:07,14,555455,0.002535,0.000000,1,108879,7817,7732,5253024,5196045,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-01 10:38:08,15,555745,0.002714,0.000000,1,116552,7672,7728,5155584,5193325,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-01 10:38:09,16,555462,0.002895,0.000000,1,124345,7792,7732,5236224,5195961,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-01 10:38:10,17,555394,0.003076,0.000000,1,132095,7749,7733,5207328,5196587,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-01 10:38:11,18,555050,0.003258,0.000000,1,139916,7820,7738,5255040,5199802,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-01 10:38:12,19,554878,0.003439,0.000000,1,147701,7784,7740,5230848,5201398,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-01 10:38:13,20,555428,0.003616,0.000000,1,155289,7587,7733,5098464,5196243,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-01 10:38:14,21,555247,0.003797,0.000000,1,163076,7786,7735,5232192,5197928,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-01 10:38:15,22,555246,0.003977,0.000000,1,170813,7735,7735,5197920,5197922,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-01 10:38:16,23,555156,0.004158,0.000000,1,178580,7764,7736,5217408,5198756,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-01 10:38:17,24,555128,0.004338,0.000000,1,186327,7746,7737,5205312,5199011,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-01 10:38:18,25,554823,0.004521,0.000000,1,194172,7843,7741,5270496,5201859,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-01 10:38:19,26,554738,0.004702,0.000000,1,201945,7772,7742,5222784,5202645,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-01 10:38:20,27,554607,0.004883,0.000000,1,209738,7792,7744,5236224,5203862,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-01 10:38:21,28,554439,0.005065,0.000000,1,217550,7810,7746,5248320,5205432,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-01 10:38:22,29,554313,0.005247,0.000000,1,225350,7798,7748,5240256,5206609,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-01 10:38:23,30,554227,0.005428,0.000000,1,233135,7784,7749,5230848,5207402,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-01 10:38:24,31,554275,0.005608,0.000000,1,240865,7729,7748,5193888,5206948,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-01 10:38:25,32,554062,0.005791,0.000000,1,248710,7844,7751,5271168,5208933,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-01 10:38:26,33,553962,0.005972,0.000000,1,256510,7798,7753,5240256,5209870,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-01 10:38:27,34,553884,0.006154,0.000000,1,264303,7790,7754,5234880,5210595,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-01 10:38:28,35,553808,0.006335,0.000000,1,272095,7791,7755,5235552,5211295,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-01 10:38:29,36,553717,0.006517,0.000000,1,279897,7801,7756,5242272,5212142,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-01 10:38:30,37,553725,0.006697,0.000000,1,287650,7752,7756,5209344,5212057,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-01 10:38:31,38,553767,0.006877,0.000000,1,295386,7734,7755,5197248,5211657,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-01 10:38:32,39,553704,0.007059,0.000000,1,303177,7790,7756,5234880,5212242,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-01 10:38:33,40,553896,0.007237,0.000000,1,310827,7649,7754,5140128,5210428,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-01 10:38:34,41,553636,0.007421,0.000000,1,318731,7903,7757,5310816,5212858,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-01 10:38:35,42,553613,0.007602,0.000000,1,326504,7771,7758,5222112,5213063,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-01 10:38:36,43,553522,0.007784,0.000000,1,334319,7813,7759,5250336,5213914,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-01 10:38:37,44,553462,0.007965,0.000000,1,342116,7796,7760,5238912,5214473,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-01 10:38:38,45,553490,0.008146,0.000000,1,349859,7741,7759,5201952,5214195,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-01 10:38:39,46,553514,0.008326,0.000000,1,357604,7744,7759,5203968,5213961,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-01 10:38:40,47,553438,0.008508,0.000000,1,365414,7809,7760,5247648,5214668,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-01 10:38:41,48,553491,0.008688,0.000000,1,373140,7724,7759,5190528,5214158,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-01 10:38:42,49,553471,0.008869,0.000000,1,380914,7773,7759,5223456,5214337,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-01 10:38:43,50,553358,0.009051,0.000000,1,388754,7839,7761,5267808,5215397,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-01 10:38:44,51,553327,0.009233,0.000000,1,396538,7783,7761,5230176,5215680,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-01 10:38:45,52,553403,0.009412,0.000000,1,404245,7705,7760,5177760,5214949,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-01 10:38:46,53,553370,0.009593,0.000000,1,412031,7785,7761,5231520,5215250,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-01 10:38:47,54,553390,0.009774,0.000000,1,419778,7745,7760,5204640,5215052,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-01 10:38:48,55,553326,0.009955,0.000000,1,427589,7810,7761,5248320,5215648,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-01 10:38:49,56,553268,0.010137,0.000000,1,435397,7807,7762,5246304,5216189,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-01 10:38:50,57,553446,0.010315,0.000000,1,443017,7619,7760,5119968,5214497,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-01 10:38:51,58,553405,0.010496,0.000000,1,450811,7793,7760,5236896,5214877,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-01 10:38:52,59,553381,0.010677,0.000000,1,458592,7780,7761,5228160,5215091,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-01 10:38:53,60,553428,0.010857,0.000000,1,466314,7721,7760,5188512,5214641,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-01 10:38:54,61,553347,0.011039,0.000000,1,474144,7829,7761,5261088,5215391,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-01 10:38:55,62,553275,0.011222,0.000000,1,481969,7824,7762,5257728,5216064,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-01 10:38:56,63,553247,0.011403,0.000000,1,489757,7787,7762,5232864,5216321,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-01 10:38:57,64,553214,0.011584,0.000000,1,497549,7791,7763,5235552,5216616,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-01 10:38:58,65,553154,0.011766,0.000000,1,505368,7818,7764,5253696,5217180,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-01 10:38:59,66,553124,0.011948,0.000000,1,513160,7791,7764,5235552,5217453,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-01 10:39:00,67,553151,0.012128,0.000000,1,520900,7738,7764,5199936,5217187,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-01 10:39:01,68,553104,0.012310,0.000000,1,528709,7808,7764,5246976,5217620,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-01 10:39:02,69,553183,0.012489,0.000000,1,536397,7687,7763,5165664,5216862,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-01 10:39:03,70,553185,0.012670,0.000000,1,544159,7761,7763,5215392,5216834,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-01 10:39:04,71,553163,0.012851,0.000000,1,551945,7785,7763,5231520,5217036,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-01 10:39:05,72,553176,0.013031,0.000000,1,559697,7750,7763,5208000,5216907,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-01 10:39:06,73,553466,0.013205,0.000000,1,567165,7465,7759,5016480,5214164,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-01 10:39:07,74,553429,0.013387,0.000000,1,574964,7797,7760,5239584,5214503,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-01 10:39:08,75,553436,0.013567,0.000000,1,582717,7752,7760,5209344,5214426,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-01 10:39:09,76,553517,0.013746,0.000000,1,590390,7672,7758,5155584,5213648,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-01 10:39:10,77,553637,0.013924,0.000000,1,598020,7628,7757,5126016,5212509,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-01 10:39:11,78,553982,0.014095,0.000000,1,605401,7379,7752,4958688,5209254,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-01 10:39:12,79,553810,0.014280,0.000000,1,613345,7942,7754,5337024,5210866,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-01 10:39:13,80,553829,0.014460,0.000000,1,621078,7732,7754,5195904,5210675,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-01 10:39:14,81,553892,0.014639,0.000000,1,628761,7682,7753,5162304,5210071,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-01 10:39:15,82,553985,0.014817,0.000000,1,636409,7647,7752,5138784,5209196,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-01 10:39:16,83,553939,0.014999,0.000000,1,644214,7804,7752,5244288,5209612,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-01 10:39:17,84,553932,0.015180,0.000000,1,651975,7760,7752,5214720,5209668,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-01 10:39:18,85,553993,0.015359,0.000000,1,659655,7679,7752,5160288,5209083,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-01 10:39:19,86,553988,0.015539,0.000000,1,667414,7758,7752,5213376,5209130,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-01 10:39:20,87,554166,0.015715,0.000000,1,674948,7533,7749,5062176,5207439,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-01 10:39:21,88,554142,0.015896,0.000000,1,682728,7779,7749,5227488,5207663,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-01 10:39:22,89,554114,0.016077,0.000000,1,690512,7783,7750,5230176,5207911,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-01 10:39:23,90,554088,0.016258,0.000000,1,698295,7782,7750,5229504,5208146,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-01 10:39:24,91,554067,0.016439,0.000000,1,706073,7776,7750,5225472,5208335,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-01 10:39:25,92,554021,0.016621,0.000000,1,713883,7809,7751,5247648,5208757,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-01 10:39:26,93,554039,0.016801,0.000000,1,721611,7727,7751,5192544,5208579,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-01 10:39:27,94,553999,0.016983,0.000000,1,729415,7803,7751,5243616,5208949,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-01 10:39:28,95,553970,0.017164,0.000000,1,737205,7789,7752,5234208,5209211,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-01 10:39:29,96,553955,0.017345,0.000000,1,744977,7771,7752,5222112,5209341,0,0,0,0,0,0,0,0,0,0,0,0
