real-time,time-elapsed,time-remaining,percent-complete,hit-rate,active-send-threads,sent-total,sent-last-one-sec,sent-avg-per-sec,sent-bandwidth-last-one-sec,sent-bandwidth-avg-per-sec,recv-success-total,recv-success-last-one-sec,recv-success-avg-per-sec,recv-total,recv-total-last-one-sec,recv-total-avg-per-sec,pcap-drop-total,drop-last-one-sec,drop-avg-per-sec,sendto-fail-total,sendto-fail-last-one-sec,sendto-fail-avg-per-sec
2025-03-28 17:11:43,0,50105041,0.000000,0.000000,1,10,1,86,752,64461,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-28 17:11:44,1,231282,0.000483,0.000000,1,20741,20727,18571,15586704,13965066,0,0,0,1,1,1,0,0,0,0,0,0
2025-03-28 17:11:45,2,218885,0.000967,0.000000,1,41542,20797,19622,15639344,14755894,0,0,0,1,0,0,0,0,0,0,0,0
2025-03-28 17:11:46,3,216389,0.001441,0.000000,1,61874,20328,19848,15286656,14926037,0,0,0,1,0,0,0,0,0,0,0,0
2025-03-28 17:11:47,4,213248,0.001932,0.000000,1,82966,21051,20141,15830352,15145875,0,0,0,1,0,0,0,0,0,0,0,0
2025-03-28 17:11:48,5,211873,0.002416,0.000000,1,103781,20809,20271,15648368,15244041,0,0,0,1,0,0,0,0,0,0,0,0
2025-03-28 17:11:49,6,211267,0.002897,0.000000,1,124424,20627,20329,15511504,15287714,0,0,0,1,0,0,0,0,0,0,0,0
2025-03-28 17:11:50,7,210448,0.003385,0.000000,1,145401,20891,20408,15710032,15347139,0,0,0,1,0,0,0,0,0,0,0,0
2025-03-28 17:11:51,8,209880,0.003871,0.000000,1,166266,20857,20464,15684464,15388586,0,0,0,1,0,0,0,0,0,0,0,0
2025-03-28 17:11:52,9,209384,0.004359,0.000000,1,187228,20905,20512,15720560,15424984,0,0,0,1,0,0,0,0,0,0,0,0
2025-03-28 17:11:53,10,209086,0.004844,0.000000,1,208041,20807,20541,15646864,15446857,0,0,0,1,0,0,0,0,0,0,0,0
2025-03-28 17:11:54,11,208824,0.005331,0.000000,1,228951,20827,20567,15661904,15466227,0,0,0,1,0,0,0,0,0,0,0,0
