real-time,time-elapsed,time-remaining,percent-complete,hit-rate,active-send-threads,sent-total,sent-last-one-sec,sent-avg-per-sec,sent-bandwidth-last-one-sec,sent-bandwidth-avg-per-sec,recv-success-total,recv-success-last-one-sec,recv-success-avg-per-sec,recv-total,recv-total-last-one-sec,recv-total-avg-per-sec,pcap-drop-total,drop-last-one-sec,drop-avg-per-sec,sendto-fail-total,sendto-fail-last-one-sec,sendto-fail-avg-per-sec
2025-03-30 22:25:58,0,392950788,0.000000,0.000000,1,1,1,11,672,7345,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-30 22:25:59,1,410380290,0.000000,0.000000,1,1,0,1,0,613,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-30 22:26:00,2,211548673,0.000000,0.000000,1,2,1,1,672,640,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-30 22:26:01,3,149189974,0.000000,0.000000,1,3,1,1,672,649,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-30 22:26:02,4,120732671,0.000000,0.000000,1,4,1,1,672,654,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-30 22:26:03,5,98475006,0.000000,0.000000,1,5,1,1,672,657,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-30 22:26:04,6,88995325,0.000000,16.666667,1,6,1,1,672,658,1,1,0,1,1,0,0,0,0,0,0,0
2025-03-30 22:26:05,7,81799457,0.000000,14.285714,1,7,1,1,672,659,1,0,0,1,0,0,0,0,0,0,0,0
2025-03-30 22:26:06,8,75767035,0.000000,12.500000,1,8,1,1,672,660,1,0,0,1,0,0,0,0,0,0,0,0
2025-03-30 22:26:07,9,70750999,0.000000,11.111111,1,9,1,1,672,661,1,0,0,1,0,0,0,0,0,0,0,0
2025-03-30 22:26:08,10,3962833169,0.000000,9.090909,1,11,2,1,1344,728,1,0,0,1,0,0,0,0,0,0,0,0
2025-03-30 22:26:09,11,3990820942,0.000000,16.666667,1,12,1,1,672,723,2,1,0,2,1,0,0,0,0,0,0,0
2025-03-30 22:26:10,12,4014345680,0.000000,15.384615,1,13,1,1,672,719,2,0,0,2,0,0,0,0,0,0,0,0
2025-03-30 22:26:11,13,4034670802,0.000000,14.285714,1,14,1,1,672,715,2,0,0,2,0,0,0,0,0,0,0,0
2025-03-30 22:26:12,14,4052504907,0.000000,13.333333,1,15,1,1,672,712,2,0,0,2,0,0,0,0,0,0,0,0
2025-03-30 22:26:13,15,4067882996,0.000000,12.500000,1,16,1,1,672,710,2,0,0,2,0,0,0,0,0,0,0,0
2025-03-30 22:26:14,16,4081544782,0.000000,11.764706,1,17,1,1,672,707,2,0,0,2,0,0,0,0,0,0,0,0
2025-03-30 22:26:15,17,4094326941,0.000000,11.111111,1,18,1,1,672,705,2,0,0,2,0,0,0,0,0,0,0,0
2025-03-30 22:26:16,18,4105789371,0.000000,10.526316,1,19,1,1,672,703,2,0,0,2,0,0,0,0,0,0,0,0
2025-03-30 22:26:17,19,4116649252,0.000000,10.000000,1,20,1,1,672,701,2,0,0,2,0,0,0,0,0,0,0,0
2025-03-30 22:26:18,20,4126290196,0.000000,9.523810,1,21,1,1,672,699,2,0,0,2,0,0,0,0,0,0,0,0
2025-03-30 22:26:19,21,4135145687,0.000001,9.090909,1,22,1,1,672,698,2,0,0,2,0,0,0,0,0,0,0,0
